box_code,box_version,engine_name,cboot_version,asw_version,cal_version,ecm3_address_start,ecm3_address_end,allowed_boxcodes
06K906070R,8096,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070R', '06K907425', '06K997070G']"
06K906070T,8046,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070', '06K906070T', '06K907425', '06K997070D']"
06K906070T,8093,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070', '06K906070T', '06K907425', '06K997070D']"
06K906070T,9345,R4 2.0l TFS,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070', '06K906070T', '06K907425', '06K997070D']"
06K906071AA,8115,Simos18.2,SC8C0L00,SC8C0V30,SC800V30,55028,64028,"['06K906071AA', '06K907425C']"
06K906071AA,8347,Simos18.2,SC8H0V31,SC8H0V31,SC800V31,55064,64064,"['06K906071AA', '06K907425C']"
06K906071AA,9052,R4 2.0l TFS,SC8H0V31,SC8H0V32,SC800V32,55100,64100,"['06K906071AA', '06K907425C']"
06K906071AB,8101,Simos18.2,SC8C0L00,SC8C0V30,SC800V30,55028,64028,"['06K906071AB', '06K907425C']"
06K906071AB,8445,Simos18.2,SC8H0V31,SC8H0V31,SC800V31,55064,64064,"['06K906071AB', '06K907425C']"
06K906071AB,9058,R4 1.8l TFS,SC8H0V31,SC8H0V32,SC800V32,55100,64100,"['06K906071AB', '06K907425C']"
06K906071AC,8102,Simos18.2,SC8C0L00,SC8C0V30,SC800V30,55028,64028,"['06K906071AC', '06K907425C']"
06K906071AC,8446,Simos18.2,SC8H0V31,SC8H0V31,SC800V31,55064,64064,"['06K906071AC', '06K907425C']"
06K906071AC,9057,R4 1.8l TFS,SC8H0V31,SC8H0V32,SC800V32,55100,64100,"['06K906071AC', '06K907425C']"
06K906071AD,9063,R4 2.0l TFS,SC8H0V31,SC8H0V32,SC800V32,55100,64100,"['06K906071AD', '06K907425C']"
06K906071AE,3179,R4 2.0l TFS,SC8E0L20,SC8E0V82,SC800V82,55372,65696,"['06K906071AE', '06K907425C']"
06K906071AF,4869,R4 1.8l TFS,SC8E0L20,SC8E0V72,SC800V72,55400,65724,"['06K906071AF', '06K907425C']"
06K906071AG,4870,R4 1.8l TFS,SC8E0L20,SC8E0V72,SC800V72,55400,65724,"['06K906071AG', '06K907425C']"
